filename,baseColour,articleType,season,gender
42600.jpg,9,21,2,2
56700.jpg,7,12,2,0
57188.jpg,6,13,2,2
3279.jpg,0,23,2,0
29177.jpg,1,17,2,0
17935.jpg,0,23,0,0
18904.jpg,1,13,0,1
44163.jpg,8,13,1,2
17403.jpg,1,18,2,0
14965.jpg,2,24,0,0
32853.jpg,3,10,3,2
19665.jpg,3,23,0,0
8449.jpg,0,21,0,2
19935.jpg,6,13,0,0
32529.jpg,7,13,1,0
54865.jpg,7,13,0,2
53307.jpg,8,23,2,0
2240.jpg,1,23,0,0
11415.jpg,2,21,0,2
20944.jpg,7,7,0,2
39174.jpg,1,12,2,2
35040.jpg,8,12,2,2
33750.jpg,7,13,2,2
54163.jpg,4,13,0,2
58489.jpg,2,5,2,2
37547.jpg,9,23,2,0
56166.jpg,6,13,1,2
34780.jpg,8,9,2,2
48752.jpg,4,13,2,2
12594.jpg,1,23,0,1
4720.jpg,9,23,2,2
42234.jpg,1,21,2,2
30597.jpg,7,23,2,0
4222.jpg,2,23,2,0
33254.jpg,7,23,2,0
24594.jpg,0,23,0,2
16099.jpg,7,20,3,2
3551.jpg,2,4,3,0
22221.jpg,7,23,0,2
28335.jpg,0,20,3,0
15960.jpg,1,13,0,0
22692.jpg,8,19,0,0
31898.jpg,0,3,2,2
33139.jpg,0,23,2,0
50827.jpg,0,24,2,0
10731.jpg,2,9,3,2
21594.jpg,0,23,0,0
21312.jpg,2,20,3,2
13898.jpg,8,19,0,0
15226.jpg,2,4,0,0
48856.jpg,4,13,2,2
39725.jpg,0,13,2,2
42529.jpg,5,12,2,2
8239.jpg,7,9,3,2
44613.jpg,0,19,1,0
47274.jpg,0,3,2,0
14607.jpg,2,18,2,0
31927.jpg,3,13,2,2
45278.jpg,3,24,2,2
16548.jpg,8,16,0,0
28371.jpg,4,20,3,0
49745.jpg,7,13,2,0
37417.jpg,4,9,2,2
7653.jpg,0,18,2,0
50972.jpg,7,2,2,2
19719.jpg,0,16,0,0
37951.jpg,7,13,2,2
4861.jpg,9,23,2,0
47180.jpg,0,4,2,0
43835.jpg,7,13,2,2
53038.jpg,5,13,0,2
54813.jpg,2,9,2,2
13383.jpg,2,4,0,2
16200.jpg,0,23,0,0
33848.jpg,2,4,2,0
49670.jpg,8,20,3,0
41867.jpg,7,15,2,0
3457.jpg,8,19,2,0
15872.jpg,1,4,1,1
22861.jpg,2,4,2,0
25464.jpg,0,19,2,2
36089.jpg,2,13,2,1
57148.jpg,0,13,2,2
29598.jpg,0,23,2,0
31870.jpg,1,13,2,2
51345.jpg,1,18,2,0
39954.jpg,1,7,2,0
15852.jpg,0,4,0,1
38717.jpg,8,13,2,2
56622.jpg,8,13,1,2
3206.jpg,1,23,2,0
59452.jpg,1,16,0,0
52817.jpg,7,13,0,2
23053.jpg,6,21,0,2
7779.jpg,0,4,0,0
28030.jpg,0,3,2,0
25396.jpg,8,13,2,0
26239.jpg,0,23,2,0
47554.jpg,7,10,3,2
51171.jpg,0,18,2,0
36367.jpg,7,13,2,0
22046.jpg,9,12,0,2
51329.jpg,1,13,2,1
42926.jpg,8,24,2,2
48368.jpg,8,16,2,0
53050.jpg,1,13,0,2
17741.jpg,8,19,0,2
34405.jpg,0,23,2,0
1994.jpg,9,23,0,2
22827.jpg,3,4,2,0
23328.jpg,2,12,0,2
33456.jpg,3,9,2,2
54653.jpg,7,25,3,2
20145.jpg,3,16,0,0
48917.jpg,4,13,2,2
14882.jpg,6,9,2,2
12009.jpg,7,16,0,0
42902.jpg,1,1,2,2
40181.jpg,0,20,3,0
17297.jpg,0,18,2,0
55112.jpg,5,13,1,2
15496.jpg,1,4,0,2
17385.jpg,7,13,0,0
44069.jpg,4,14,1,0
37593.jpg,9,23,2,0
2783.jpg,7,23,2,0
37212.jpg,7,16,2,0
45084.jpg,4,13,2,2
28173.jpg,4,20,3,0
41611.jpg,9,16,2,0
2830.jpg,0,4,2,0
28016.jpg,8,13,3,0
28154.jpg,0,20,3,0
7246.jpg,0,4,0,0
45402.jpg,4,6,3,2
36239.jpg,7,21,2,2
14510.jpg,3,16,0,0
33992.jpg,8,13,2,2
42694.jpg,2,6,1,2
25164.jpg,0,9,3,2
21659.jpg,0,2,2,2
23051.jpg,1,5,0,2
49091.jpg,2,13,1,2
30810.jpg,2,13,2,2
24148.jpg,9,23,1,0
